model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100-b128-e5, 3.703, 0.045, 0.962
ModelFCN-Keras-p100:100-b128-e5, 3.824, 0.046, 0.973
ModelFCN-Keras-p100:100-b128-e5, 3.817, 0.045, 0.975
ModelFCN-Keras-p100:100-b128-e5, 3.873, 0.046, 0.975
ModelFCN-Keras-p100:100-b128-e5, 3.898, 0.047, 0.978
ModelFCN-Keras-p100:100-b128-e5, 3.883, 0.046, 0.978
ModelFCN-Keras-p100:100-b128-e5, 3.937, 0.046, 0.978
ModelFCN-Keras-p100:100-b128-e5, 3.921, 0.046, 0.979
ModelFCN-Keras-p100:100-b128-e5, 3.892, 0.153, 0.978
ModelFCN-Keras-p100:100-b128-e5, 3.892, 0.046, 0.977
