model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100-b128-e1, 0.914, 0.050, 0.930
ModelFCN-Keras-p100:100:100-b128-e1, 0.823, 0.050, 0.948
ModelFCN-Keras-p100:100:100-b128-e1, 0.958, 0.052, 0.958
ModelFCN-Keras-p100:100:100-b128-e1, 0.851, 0.050, 0.961
ModelFCN-Keras-p100:100:100-b128-e1, 0.857, 0.051, 0.968
ModelFCN-Keras-p100:100:100-b128-e1, 0.970, 0.050, 0.970
ModelFCN-Keras-p100:100:100-b128-e1, 0.850, 0.051, 0.972
ModelFCN-Keras-p100:100:100-b128-e1, 0.976, 0.051, 0.972
ModelFCN-Keras-p100:100:100-b128-e1, 0.850, 0.055, 0.971
ModelFCN-Keras-p100:100:100-b128-e1, 0.960, 0.055, 0.974
