model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.031, 0.055, 0.970
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.239, 0.059, 0.973
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.279, 0.060, 0.976
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.342, 0.054, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.306, 0.054, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.591, 0.054, 0.978
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.531, 0.054, 0.979
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.750, 0.054, 0.979
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.764, 0.056, 0.979
ModelFCN-Keras-p100:100:100:100-b128-e5, 5.814, 0.054, 0.980
