model, timeTrain, timeTest, acc
ModelFCN-Keras-p64-b128-e1, 0.420, 0.034, 0.918
ModelFCN-Keras-p64-b128-e1, 0.415, 0.034, 0.932
ModelFCN-Keras-p64-b128-e1, 0.457, 0.035, 0.941
ModelFCN-Keras-p64-b128-e1, 0.536, 0.034, 0.947
ModelFCN-Keras-p64-b128-e1, 0.450, 0.034, 0.952
ModelFCN-Keras-p64-b128-e1, 0.453, 0.034, 0.955
ModelFCN-Keras-p64-b128-e1, 0.457, 0.035, 0.960
ModelFCN-Keras-p64-b128-e1, 0.586, 0.034, 0.960
ModelFCN-Keras-p64-b128-e1, 0.463, 0.034, 0.964
ModelFCN-Keras-p64-b128-e1, 0.455, 0.038, 0.964
