model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100-b128-e5, 4.745, 0.115, 0.946
ModelFCN-Caffe-p100:100-b128-e5, 4.698, 0.109, 0.948
ModelFCN-Caffe-p100:100-b128-e5, 4.619, 0.108, 0.946
ModelFCN-Caffe-p100:100-b128-e5, 4.874, 0.116, 0.946
ModelFCN-Caffe-p100:100-b128-e5, 4.535, 0.106, 0.947
ModelFCN-Caffe-p100:100-b128-e5, 4.837, 0.087, 0.944
ModelFCN-Caffe-p100:100-b128-e5, 4.596, 0.112, 0.947
ModelFCN-Caffe-p100:100-b128-e5, 4.717, 0.107, 0.947
ModelFCN-Caffe-p100:100-b128-e5, 4.536, 0.107, 0.945
ModelFCN-Caffe-p100:100-b128-e5, 5.105, 0.090, 0.945
