model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100:100-b128-e1, 1.151, 0.110, 0.903
ModelFCN-Caffe-p100:100:100-b128-e1, 1.169, 0.110, 0.898
ModelFCN-Caffe-p100:100:100-b128-e1, 1.091, 0.112, 0.902
ModelFCN-Caffe-p100:100:100-b128-e1, 1.024, 0.119, 0.903
ModelFCN-Caffe-p100:100:100-b128-e1, 1.181, 0.107, 0.900
ModelFCN-Caffe-p100:100:100-b128-e1, 1.039, 0.156, 0.898
ModelFCN-Caffe-p100:100:100-b128-e1, 1.077, 0.096, 0.905
ModelFCN-Caffe-p100:100:100-b128-e1, 1.149, 0.111, 0.897
ModelFCN-Caffe-p100:100:100-b128-e1, 1.129, 0.117, 0.902
ModelFCN-Caffe-p100:100:100-b128-e1, 1.212, 0.075, 0.898
