model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.174, 0.130, 0.898
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.262, 0.117, 0.904
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.224, 0.096, 0.903
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.192, 0.078, 0.900
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.259, 0.122, 0.910
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.143, 0.094, 0.906
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.129, 0.114, 0.907
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.252, 0.110, 0.903
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.118, 0.111, 0.906
ModelFCN-Caffe-p100:100:100:100-b128-e1, 1.120, 0.078, 0.905
