model, timeTrain, timeTest, acc
ModelFCN-Caffe-p64-b128-e5, 4.180, 0.100, 0.929
ModelFCN-Caffe-p64-b128-e5, 4.236, 0.102, 0.932
ModelFCN-Caffe-p64-b128-e5, 4.009, 0.091, 0.932
ModelFCN-Caffe-p64-b128-e5, 4.372, 0.098, 0.926
ModelFCN-Caffe-p64-b128-e5, 4.191, 0.103, 0.931
ModelFCN-Caffe-p64-b128-e5, 4.009, 0.100, 0.931
ModelFCN-Caffe-p64-b128-e5, 3.852, 0.068, 0.930
ModelFCN-Caffe-p64-b128-e5, 3.826, 0.106, 0.929
ModelFCN-Caffe-p64-b128-e5, 4.256, 0.094, 0.931
ModelFCN-Caffe-p64-b128-e5, 4.086, 0.098, 0.933
