model, timeTrain, timeTest, acc
ModelFCN-Keras-p100-b128-e5, 3.737, 0.074, 0.947
ModelFCN-Keras-p100-b128-e5, 3.828, 0.075, 0.962
ModelFCN-Keras-p100-b128-e5, 3.912, 0.076, 0.968
ModelFCN-Keras-p100-b128-e5, 3.834, 0.120, 0.971
ModelFCN-Keras-p100-b128-e5, 3.808, 0.079, 0.973
ModelFCN-Keras-p100-b128-e5, 3.900, 0.082, 0.975
ModelFCN-Keras-p100-b128-e5, 3.916, 0.079, 0.975
ModelFCN-Keras-p100-b128-e5, 3.868, 0.084, 0.977
ModelFCN-Keras-p100-b128-e5, 3.881, 0.077, 0.977
ModelFCN-Keras-p100-b128-e5, 3.947, 0.078, 0.976
