model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100-b128-e1, 1.168, 0.112, 0.921
ModelFCN-Keras-p100:100-b128-e1, 0.994, 0.111, 0.937
ModelFCN-Keras-p100:100-b128-e1, 1.038, 0.113, 0.944
ModelFCN-Keras-p100:100-b128-e1, 1.005, 0.112, 0.953
ModelFCN-Keras-p100:100-b128-e1, 1.071, 0.115, 0.958
ModelFCN-Keras-p100:100-b128-e1, 1.007, 0.119, 0.963
ModelFCN-Keras-p100:100-b128-e1, 1.111, 0.110, 0.966
ModelFCN-Keras-p100:100-b128-e1, 1.049, 0.171, 0.966
ModelFCN-Keras-p100:100-b128-e1, 1.015, 0.110, 0.968
ModelFCN-Keras-p100:100-b128-e1, 1.121, 0.114, 0.970
