model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100-b128-e5, 6.568, 0.156, 0.964
ModelFCN-Keras-p100:100:100-b128-e5, 6.673, 0.239, 0.971
ModelFCN-Keras-p100:100:100-b128-e5, 6.678, 0.149, 0.974
ModelFCN-Keras-p100:100:100-b128-e5, 6.741, 0.150, 0.976
ModelFCN-Keras-p100:100:100-b128-e5, 6.747, 0.168, 0.976
ModelFCN-Keras-p100:100:100-b128-e5, 6.864, 0.264, 0.977
ModelFCN-Keras-p100:100:100-b128-e5, 6.853, 0.152, 0.978
ModelFCN-Keras-p100:100:100-b128-e5, 6.686, 0.165, 0.977
ModelFCN-Keras-p100:100:100-b128-e5, 6.833, 0.158, 0.977
ModelFCN-Keras-p100:100:100-b128-e5, 6.846, 0.156, 0.977
