model, timeTrain, timeTest, acc
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.6069910526276, 6.9630420207977, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.9818840026855, 6.9427461624146, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.4941308498383, 6.4192068576813, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.4863839149475, 6.7806618213654, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 3.0392429828644, 6.865504026413, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.5501229763031, 6.5521030426025, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.5791320800781, 6.767373085022, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.8933022022247, 7.2615311145782, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.5753130912781, 6.5267641544342, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100-b128-e1, 2.6436960697174, 6.4824819564819, 0.10009900990408
