model, timeTrain, timeTest, acc
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 14.690524101257, 18.708056211472, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 14.437642097473, 18.350286006927, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 14.906179189682, 19.342493057251, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 14.347147941589, 19.02060508728, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 15.974159002304, 20.193588972092, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 16.417680025101, 21.205030918121, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 22.444180011749, 26.808034181595, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 21.415978908539, 26.383229970932, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 18.776109933853, 23.490119934082, 0.1
TRAIN-ModelFCN-Tensorflow-p100:100:100:100-b128-e5, 22.194406032562, 26.791946172714, 0.1
