model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100-b128-e10, 10.044, 0.127, 0.938
ModelFCNN-Caffe-p100-b128-e10, 10.282, 0.101, 0.940
ModelFCNN-Caffe-p100-b128-e10, 9.671, 0.125, 0.942
ModelFCNN-Caffe-p100-b128-e10, 9.972, 0.083, 0.938
ModelFCNN-Caffe-p100-b128-e10, 9.920, 0.115, 0.940
ModelFCNN-Caffe-p100-b128-e10, 9.792, 0.129, 0.942
ModelFCNN-Caffe-p100-b128-e10, 10.071, 0.132, 0.941
ModelFCNN-Caffe-p100-b128-e10, 10.076, 0.124, 0.939
ModelFCNN-Caffe-p100-b128-e10, 10.330, 0.129, 0.939
ModelFCNN-Caffe-p100-b128-e10, 9.878, 0.129, 0.940
