model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100-b128-e1, 1.538, 0.115, 0.890
ModelFCNN-Caffe-p100:100-b128-e1, 1.398, 0.156, 0.893
ModelFCNN-Caffe-p100:100-b128-e1, 1.513, 0.131, 0.894
ModelFCNN-Caffe-p100:100-b128-e1, 1.479, 0.124, 0.894
ModelFCNN-Caffe-p100:100-b128-e1, 1.537, 0.134, 0.895
ModelFCNN-Caffe-p100:100-b128-e1, 1.437, 0.146, 0.894
ModelFCNN-Caffe-p100:100-b128-e1, 1.503, 0.144, 0.892
ModelFCNN-Caffe-p100:100-b128-e1, 1.551, 0.097, 0.895
ModelFCNN-Caffe-p100:100-b128-e1, 1.446, 0.155, 0.897
ModelFCNN-Caffe-p100:100-b128-e1, 1.431, 0.223, 0.896
