model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.932, 0.151, 0.942
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.764, 0.141, 0.941
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.816, 0.147, 0.945
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.851, 0.150, 0.940
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.789, 0.153, 0.942
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.900, 0.173, 0.942
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.972, 0.138, 0.944
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.865, 0.151, 0.943
ModelFCNN-Caffe-p100:100:100-b128-e5, 7.930, 0.170, 0.943
ModelFCNN-Caffe-p100:100:100-b128-e5, 8.036, 0.146, 0.944
