model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.342, 0.145, 0.945
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.340, 0.160, 0.948
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.218, 0.170, 0.947
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.221, 0.165, 0.947
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.346, 0.169, 0.948
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.126, 0.150, 0.946
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.339, 0.155, 0.949
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.078, 0.153, 0.949
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.384, 0.172, 0.946
ModelFCNN-Caffe-p100:100:100:100-b128-e5, 9.175, 0.165, 0.945
