Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Keras,1,1,100,80284,1, 0.7851,0.0598, 0.0812,0.0120, 0.9443,0.0148
Keras,1,2,100,90384,1, 1.0579,0.0556, 0.1187,0.0176, 0.9546,0.0152
Keras,1,3,100,100484,1, 1.3436,0.0471, 0.1492,0.0031, 0.9589,0.0139
Keras,1,4,100,110584,1, 1.6055,0.0409, 0.1917,0.0150, 0.9619,0.0145
Keras,1,1,100,80284,5, 3.8631,0.0591, 0.0824,0.0129, 0.9701,0.0089
Keras,1,2,100,90384,5, 5.3076,0.0745, 0.1200,0.0176, 0.9749,0.0070
Keras,1,3,100,100484,5, 6.7489,0.0939, 0.1757,0.0387, 0.9747,0.0041
Keras,1,4,100,110584,5, 8.1910,0.0794, 0.2054,0.0299, 0.9761,0.0041
Keras,1,1,100,80284,10, 7.7590,0.1033, 0.0849,0.0254, 0.9740,0.0054
Keras,1,2,100,90384,10, 10.7386,0.1454, 0.1192,0.0175, 0.9765,0.0019
Keras,1,3,100,100484,10, 13.6130,0.1482, 0.1639,0.0356, 0.9763,0.0015
Keras,1,4,100,110584,10, 16.5636,0.2083, 0.1965,0.0193, 0.9791,0.0016
Torch,1,1,100,80284,1, 2.0981,0.3111, 6.2145,0.9839, 0.8907,0.0024
Torch,1,2,100,90384,1, 2.6074,0.7212, 6.3650,0.7201, 0.6463,0.0211
Torch,1,3,100,100484,1, 2.6850,0.1955, 6.7561,0.2507, 0.1000,0.0000
Torch,1,4,100,110584,1, 3.7219,0.6608, 8.7868,0.7614, 0.1000,0.0000
Torch,1,1,100,80284,5, 11.0294,0.9007, 14.1679,1.2126, 0.9283,0.0015
Torch,1,2,100,90384,5, 11.7958,0.6167, 15.0347,0.4960, 0.8816,0.0048
Torch,1,3,100,100484,5, 14.1601,1.2294, 18.2417,1.4522, 0.2464,0.0903
Torch,1,4,100,110584,5, 17.5604,3.1757, 22.0293,3.3391, 0.1000,0.0000
Torch,1,1,100,80284,10, 25.4411,2.6154, 29.0129,2.5267, 0.9403,0.0011
Torch,1,2,100,90384,10, 31.4982,5.8631, 36.1515,5.9260, 0.9157,0.0019
Torch,1,3,100,100484,10, 33.2784,5.9101, 38.0772,6.8061, 0.4990,0.0491
Torch,1,4,100,110584,10, 30.6197,1.6213, 34.6392,1.6380, 0.1000,0.0000
