Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Keras,1,1,100,80284,1, 0.6191,0.0304, 0.0465,0.0034, 0.9520,0.0152
Keras,1,2,100,90384,1, 0.7532,0.0417, 0.0471,0.0018, 0.9593,0.0143
Keras,1,3,100,100484,1, 0.9009,0.0575, 0.0515,0.0019, 0.9624,0.0133
Keras,1,4,100,110584,1, 1.1158,0.2152, 0.0566,0.0025, 0.9634,0.0127
Keras,1,1,100,80284,5, 3.2948,0.0858, 0.0534,0.0289, 0.9728,0.0068
Keras,1,2,100,90384,5, 3.8640,0.0644, 0.0566,0.0321, 0.9753,0.0048
Keras,1,3,100,100484,5, 4.6321,0.1570, 0.0627,0.0325, 0.9767,0.0030
Keras,1,4,100,110584,5, 5.4647,0.2504, 0.0554,0.0022, 0.9768,0.0030
Keras,1,1,100,80284,10, 6.6535,0.1310, 0.0509,0.0220, 0.9760,0.0031
Keras,1,2,100,90384,10, 7.9567,0.2190, 0.0572,0.0280, 0.9778,0.0018
Keras,1,3,100,100484,10, 9.7115,0.5440, 0.0525,0.0025, 0.9782,0.0012
Keras,1,4,100,110584,10, 11.2732,0.6194, 0.0666,0.0279, 0.9761,0.0015
Torch,1,1,100,80284,1, 1.4708,0.0533, 4.1762,0.0390, 0.5898,0.0682
Torch,1,2,100,90384,1, 1.7058,0.0550, 4.6038,0.1266, 0.5269,0.3266
Torch,1,3,100,100484,1, 1.8676,0.0526, 4.9456,0.0769, 0.9232,0.0086
Torch,1,4,100,110584,1, 2.0320,0.0594, 5.3056,0.1249, 0.9382,0.0080
Torch,1,1,100,80284,5, 7.5499,0.1089, 10.1928,0.1226, 0.7861,0.0989
Torch,1,2,100,90384,5, 8.2604,0.0731, 11.1806,0.1177, 0.5158,0.3700
Torch,1,3,100,100484,5, 9.2388,0.1065, 12.3254,0.1686, 0.8698,0.2569
Torch,1,4,100,110584,5, 10.1865,0.1522, 13.4257,0.1384, 0.9664,0.0012
Torch,1,1,100,80284,10, 15.0783,0.1916, 17.7877,0.1675, 0.8104,0.1006
Torch,1,2,100,90384,10, 16.7679,0.4158, 31.0557,32.3796, 0.7764,0.3384
Torch,1,3,100,100484,10, 18.8974,0.3969, 26.7679,0.5939, 0.9658,0.0040
Torch,1,4,100,110584,10, 20.4237,0.4070, 27.9393,0.5579, 0.9715,0.0019
Caffe,1,1,100,80284,1, 1.0325,0.0682, 0.1038,0.0086, 0.8890,0.0021
Caffe,1,2,100,90384,1, 1.0781,0.0911, 0.1089,0.0170, 0.8918,0.0022
Caffe,1,3,100,100484,1, 1.1222,0.0591, 0.1113,0.0191, 0.9006,0.0026
Caffe,1,4,100,110584,1, 1.1873,0.0558, 0.1050,0.0169, 0.9042,0.0033
Caffe,1,1,100,80284,5, 4.2752,0.1645, 0.1037,0.0124, 0.9336,0.0017
Caffe,1,2,100,90384,5, 4.7262,0.1673, 0.1057,0.0092, 0.9461,0.0011
Caffe,1,3,100,100484,5, 4.8018,0.1321, 0.0989,0.0112, 0.9513,0.0021
Caffe,1,4,100,110584,5, 5.2685,0.0973, 0.1129,0.0114, 0.9505,0.0046
Caffe,1,1,100,80284,10, 8.4242,0.2869, 0.1000,0.0181, 0.9503,0.0020
Caffe,1,2,100,90384,10, 9.2580,0.2321, 0.1065,0.0348, 0.9588,0.0017
Caffe,1,3,100,100484,10, 9.5877,0.1170, 0.1081,0.0111, 0.9612,0.0022
Caffe,1,4,100,110584,10, 10.2763,0.1048, 0.1178,0.0265, 0.9616,0.0031
Tensorflow,1,1,100,80284,1, 1.1260,0.0287, 0.0300,0.0000, 0.9000,0.0000
Tensorflow,1,2,100,90384,1, 1.3880,0.0117, 0.0340,0.0049, 0.8820,0.0075
Tensorflow,1,3,100,100484,1, 1.4820,0.0133, 0.0400,0.0000, 0.8700,0.0063
Tensorflow,1,4,100,110584,1, 1.7100,0.0167, 0.0460,0.0049, 0.8380,0.0098
Tensorflow,1,1,100,80284,5, 5.7580,0.0578, 0.0300,0.0000, 0.9400,0.0000
Tensorflow,1,2,100,90384,5, 7.5740,0.0717, 0.0400,0.0000, 0.9200,0.0155
Tensorflow,1,3,100,100484,5, 8.0460,0.0488, 0.0420,0.0040, 0.9080,0.0117
Tensorflow,1,4,100,110584,5, 9.0020,0.0962, 0.0460,0.0049, 0.8800,0.0228
