model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100-b128-e10, 7.491, 0.046, 0.973
ModelFCN-Keras-p100:100-b128-e10, 7.790, 0.053, 0.977
ModelFCN-Keras-p100:100-b128-e10, 7.862, 0.047, 0.977
ModelFCN-Keras-p100:100-b128-e10, 7.795, 0.141, 0.978
ModelFCN-Keras-p100:100-b128-e10, 7.952, 0.047, 0.979
ModelFCN-Keras-p100:100-b128-e10, 8.029, 0.048, 0.978
ModelFCN-Keras-p100:100-b128-e10, 8.036, 0.046, 0.979
ModelFCN-Keras-p100:100-b128-e10, 8.197, 0.046, 0.979
ModelFCN-Keras-p100:100-b128-e10, 8.256, 0.049, 0.979
ModelFCN-Keras-p100:100-b128-e10, 8.159, 0.049, 0.979
