model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100-b128-e5, 4.250, 0.160, 0.969
ModelFCN-Keras-p100:100:100-b128-e5, 4.511, 0.052, 0.975
ModelFCN-Keras-p100:100:100-b128-e5, 4.552, 0.051, 0.975
ModelFCN-Keras-p100:100:100-b128-e5, 4.588, 0.050, 0.977
ModelFCN-Keras-p100:100:100-b128-e5, 4.672, 0.055, 0.977
ModelFCN-Keras-p100:100:100-b128-e5, 4.709, 0.050, 0.978
ModelFCN-Keras-p100:100:100-b128-e5, 4.813, 0.050, 0.979
ModelFCN-Keras-p100:100:100-b128-e5, 4.768, 0.050, 0.979
ModelFCN-Keras-p100:100:100-b128-e5, 4.735, 0.055, 0.979
ModelFCN-Keras-p100:100:100-b128-e5, 4.723, 0.054, 0.979
