model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100:100-b128-e1, 0.930, 0.058, 0.934
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.045, 0.058, 0.947
ModelFCN-Keras-p100:100:100:100-b128-e1, 0.978, 0.058, 0.958
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.397, 0.058, 0.966
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.046, 0.054, 0.970
ModelFCN-Keras-p100:100:100:100-b128-e1, 0.968, 0.054, 0.967
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.097, 0.054, 0.972
ModelFCN-Keras-p100:100:100:100-b128-e1, 0.985, 0.055, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.068, 0.062, 0.972
ModelFCN-Keras-p100:100:100:100-b128-e1, 1.644, 0.055, 0.971
