model, timeTrain, timeTest, acc
ModelFCN-Keras-p64-b128-e10, 4.557, 0.034, 0.964
ModelFCN-Keras-p64-b128-e10, 4.860, 0.034, 0.971
ModelFCN-Keras-p64-b128-e10, 5.136, 0.034, 0.974
ModelFCN-Keras-p64-b128-e10, 4.814, 0.035, 0.975
ModelFCN-Keras-p64-b128-e10, 4.887, 0.035, 0.974
ModelFCN-Keras-p64-b128-e10, 4.782, 0.034, 0.977
ModelFCN-Keras-p64-b128-e10, 4.837, 0.034, 0.976
ModelFCN-Keras-p64-b128-e10, 4.907, 0.034, 0.976
ModelFCN-Keras-p64-b128-e10, 4.817, 0.034, 0.977
ModelFCN-Keras-p64-b128-e10, 4.836, 0.034, 0.977
