model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100-b128-e5, 4.396, 0.113, 0.934
ModelFCN-Caffe-p100-b128-e5, 4.172, 0.114, 0.934
ModelFCN-Caffe-p100-b128-e5, 4.339, 0.074, 0.933
ModelFCN-Caffe-p100-b128-e5, 4.005, 0.112, 0.931
ModelFCN-Caffe-p100-b128-e5, 4.078, 0.110, 0.933
ModelFCN-Caffe-p100-b128-e5, 4.457, 0.087, 0.935
ModelFCN-Caffe-p100-b128-e5, 4.332, 0.105, 0.932
ModelFCN-Caffe-p100-b128-e5, 4.252, 0.104, 0.937
ModelFCN-Caffe-p100-b128-e5, 4.163, 0.106, 0.932
ModelFCN-Caffe-p100-b128-e5, 4.558, 0.112, 0.935
