model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100-b128-e10, 8.986, 0.106, 0.959
ModelFCN-Caffe-p100:100-b128-e10, 9.399, 0.190, 0.958
ModelFCN-Caffe-p100:100-b128-e10, 9.495, 0.059, 0.959
ModelFCN-Caffe-p100:100-b128-e10, 9.597, 0.110, 0.955
ModelFCN-Caffe-p100:100-b128-e10, 9.402, 0.108, 0.960
ModelFCN-Caffe-p100:100-b128-e10, 9.302, 0.082, 0.961
ModelFCN-Caffe-p100:100-b128-e10, 8.889, 0.120, 0.960
ModelFCN-Caffe-p100:100-b128-e10, 8.958, 0.113, 0.960
ModelFCN-Caffe-p100:100-b128-e10, 9.166, 0.062, 0.959
ModelFCN-Caffe-p100:100-b128-e10, 9.386, 0.115, 0.957
