model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100:100-b128-e5, 4.977, 0.119, 0.951
ModelFCN-Caffe-p100:100:100-b128-e5, 4.863, 0.104, 0.950
ModelFCN-Caffe-p100:100:100-b128-e5, 4.913, 0.087, 0.948
ModelFCN-Caffe-p100:100:100-b128-e5, 4.592, 0.089, 0.952
ModelFCN-Caffe-p100:100:100-b128-e5, 4.789, 0.110, 0.955
ModelFCN-Caffe-p100:100:100-b128-e5, 4.602, 0.112, 0.955
ModelFCN-Caffe-p100:100:100-b128-e5, 4.847, 0.098, 0.951
ModelFCN-Caffe-p100:100:100-b128-e5, 4.973, 0.087, 0.949
ModelFCN-Caffe-p100:100:100-b128-e5, 4.698, 0.087, 0.951
ModelFCN-Caffe-p100:100:100-b128-e5, 4.764, 0.096, 0.951
