model, timeTrain, timeTest, acc
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.300, 0.122, 0.940
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.171, 0.113, 0.950
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.350, 0.082, 0.949
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.088, 0.112, 0.954
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.207, 0.124, 0.954
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.261, 0.117, 0.953
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.288, 0.108, 0.958
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.452, 0.122, 0.950
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.227, 0.116, 0.950
ModelFCN-Caffe-p100:100:100:100-b128-e5, 5.341, 0.113, 0.947
