Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Keras,1,1,100,80284,1, 0.619,0.0304, 0.046,0.0034, 0.952,0.0152
Keras,1,2,100,90384,1, 0.753,0.0417, 0.047,0.0018, 0.959,0.0143
Keras,1,3,100,100484,1, 0.901,0.0575, 0.052,0.0019, 0.962,0.0133
Keras,1,4,100,110584,1, 1.116,0.2152, 0.057,0.0025, 0.963,0.0127
Keras,1,1,100,80284,5, 3.295,0.0858, 0.053,0.0289, 0.973,0.0068
Keras,1,2,100,90384,5, 3.864,0.0644, 0.057,0.0321, 0.975,0.0048
Keras,1,3,100,100484,5, 4.632,0.1570, 0.063,0.0325, 0.977,0.0030
Keras,1,4,100,110584,5, 5.465,0.2504, 0.055,0.0022, 0.977,0.0030
Keras,1,1,100,80284,10, 6.653,0.1310, 0.051,0.0220, 0.976,0.0031
Keras,1,2,100,90384,10, 7.957,0.2190, 0.057,0.0280, 0.978,0.0018
Keras,1,3,100,100484,10, 9.711,0.5440, 0.053,0.0025, 0.978,0.0012
Keras,1,4,100,110584,10, 11.273,0.6194, 0.067,0.0279, 0.976,0.0015
Torch,1,1,100,80284,1, 1.696,0.0323, 0.189,0.0094, 0.524,0.1377
Torch,1,2,100,90384,1, 1.819,0.0638, 0.217,0.0418, 0.889,0.0312
Torch,1,3,100,100484,1, 2.024,0.0351, 0.203,0.0130, 0.936,0.0043
Torch,1,4,100,110584,1, 2.213,0.0628, 0.213,0.0154, 0.935,0.0047
Torch,1,1,100,80284,5, 8.274,0.1007, 0.179,0.0129, 0.750,0.2246
Torch,1,2,100,90384,5, 9.421,0.3527, 0.209,0.0412, 0.935,0.0157
Torch,1,3,100,100484,5, 10.152,0.2450, 0.247,0.0473, 0.969,0.0034
Torch,1,4,100,110584,5, 11.115,0.3817, 0.219,0.0535, 0.971,0.0039
Torch,1,1,100,80284,10, 16.482,0.1651, 0.228,0.0605, 0.849,0.0440
Torch,1,2,100,90384,10, 18.427,0.3373, 0.198,0.0415, 0.945,0.0243
Torch,1,3,100,100484,10, 19.639,0.1374, 0.211,0.0504, 0.980,0.0034
Torch,1,4,100,110584,10, 21.848,0.2925, 0.199,0.0079, 0.981,0.0034
Caffe,1,1,100,80284,1, 1.033,0.0682, 0.104,0.0086, 0.889,0.0021
Caffe,1,2,100,90384,1, 1.078,0.0911, 0.109,0.0170, 0.892,0.0022
Caffe,1,3,100,100484,1, 1.122,0.0591, 0.111,0.0191, 0.901,0.0026
Caffe,1,4,100,110584,1, 1.187,0.0558, 0.105,0.0169, 0.904,0.0033
Caffe,1,1,100,80284,5, 4.275,0.1645, 0.104,0.0124, 0.934,0.0017
Caffe,1,2,100,90384,5, 4.726,0.1673, 0.106,0.0092, 0.946,0.0011
Caffe,1,3,100,100484,5, 4.802,0.1321, 0.099,0.0112, 0.951,0.0021
Caffe,1,4,100,110584,5, 5.268,0.0973, 0.113,0.0114, 0.950,0.0046
Caffe,1,1,100,80284,10, 8.424,0.2869, 0.100,0.0181, 0.950,0.0020
Caffe,1,2,100,90384,10, 9.258,0.2321, 0.106,0.0348, 0.959,0.0017
Caffe,1,3,100,100484,10, 9.588,0.1170, 0.108,0.0111, 0.961,0.0022
Caffe,1,4,100,110584,10, 10.276,0.1048, 0.118,0.0265, 0.962,0.0031
Tensorflow,1,1,100,80284,1, 1.126,0.0287, 0.030,0.0000, 0.900,0.0000
Tensorflow,1,2,100,90384,1, 1.388,0.0117, 0.034,0.0049, 0.882,0.0075
Tensorflow,1,3,100,100484,1, 1.482,0.0133, 0.040,0.0000, 0.870,0.0063
Tensorflow,1,4,100,110584,1, 1.710,0.0167, 0.046,0.0049, 0.838,0.0098
Tensorflow,1,1,100,80284,5, 5.758,0.0578, 0.030,0.0000, 0.940,0.0000
Tensorflow,1,2,100,90384,5, 7.574,0.0717, 0.040,0.0000, 0.920,0.0155
Tensorflow,1,3,100,100484,5, 8.046,0.0488, 0.042,0.0040, 0.908,0.0117
Tensorflow,1,4,100,110584,5, 9.002,0.0962, 0.046,0.0049, 0.880,0.0228
Tensorflow,1,1,100,80284,10, 11.624,0.0845, 0.030,0.0000, 0.950,0.0000
Tensorflow,1,2,100,90384,10, 15.376,0.1214, 0.040,0.0000, 0.940,0.0000
Tensorflow,1,3,100,100484,10, 16.750,0.2271, 0.042,0.0040, 0.918,0.0133
Tensorflow,1,4,100,110584,10, 18.562,0.1321, 0.048,0.0040, 0.892,0.0183
Deeplearning4J,1,1,100,80284,1, 12.162,0.6014, 0.639,0.0672, 0.913,0.0000
Deeplearning4J,1,2,100,90384,1, 13.754,0.5890, 0.674,0.1131, 0.919,0.0000
Deeplearning4J,1,3,100,100484,1, 15.147,0.6217, 0.687,0.1210, 0.919,0.0000
Deeplearning4J,1,4,100,110584,1, 16.075,0.6241, 0.677,0.1076, 0.912,0.0000
Deeplearning4J,1,1,100,80284,5, 58.153,0.7395, 0.631,0.0979, 0.954,0.0000
Deeplearning4J,1,2,100,90384,5, 64.644,0.8162, 0.654,0.1445, 0.960,0.0000
Deeplearning4J,1,3,100,100484,5, 71.867,0.6663, 0.638,0.0801, 0.965,0.0000
Deeplearning4J,1,4,100,110584,5, 77.570,0.8615, 0.672,0.0860, 0.960,0.0000
Deeplearning4J,1,1,100,80284,10, 117.043,1.1999, 0.653,0.0784, 0.969,0.0000
Deeplearning4J,1,2,100,90384,10, 131.596,0.9186, 0.699,0.0916, 0.972,0.0000
Deeplearning4J,1,3,100,100484,10, 142.298,0.9123, 0.655,0.0893, 0.975,0.0000
Deeplearning4J,1,4,100,110584,10, 159.119,0.9737, 0.730,0.1304, 0.969,0.0000
Keras,2,1,64,51664,1, 0.469,0.0496, 0.035,0.0012, 0.949,0.0143
Keras,2,1,128,102544,1, 0.688,0.0489, 0.043,0.0032, 0.952,0.0150
Keras,2,1,512,407824,1, 2.087,0.0872, 0.087,0.0021, 0.957,0.0140
Keras,2,1,1024,814864,1, 4.078,0.1318, 0.151,0.0022, 0.958,0.0146
Keras,2,1,64,51664,5, 2.409,0.0821, 0.035,0.0017, 0.971,0.0076
Keras,2,1,128,102544,5, 3.596,0.0967, 0.046,0.0021, 0.975,0.0069
Keras,2,1,512,407824,5, 11.041,0.3407, 0.089,0.0032, 0.977,0.0070
Keras,2,1,1024,814864,5, 21.875,0.6560, 0.171,0.0394, 0.978,0.0061
