model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100-b128-e10, 10.488, 0.110, 0.971
ModelFCN-Keras-p100:100-b128-e10, 10.619, 0.112, 0.976
ModelFCN-Keras-p100:100-b128-e10, 10.603, 0.114, 0.977
ModelFCN-Keras-p100:100-b128-e10, 10.629, 0.120, 0.977
ModelFCN-Keras-p100:100-b128-e10, 10.722, 0.112, 0.977
ModelFCN-Keras-p100:100-b128-e10, 10.777, 0.114, 0.977
ModelFCN-Keras-p100:100-b128-e10, 10.887, 0.111, 0.977
ModelFCN-Keras-p100:100-b128-e10, 10.837, 0.111, 0.978
ModelFCN-Keras-p100:100-b128-e10, 10.840, 0.171, 0.977
ModelFCN-Keras-p100:100-b128-e10, 10.984, 0.117, 0.978
