model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100-b128-e1, 1.260, 0.144, 0.926
ModelFCN-Keras-p100:100:100-b128-e1, 1.372, 0.151, 0.943
ModelFCN-Keras-p100:100:100-b128-e1, 1.391, 0.151, 0.953
ModelFCN-Keras-p100:100:100-b128-e1, 1.279, 0.150, 0.960
ModelFCN-Keras-p100:100:100-b128-e1, 1.385, 0.147, 0.961
ModelFCN-Keras-p100:100:100-b128-e1, 1.360, 0.149, 0.966
ModelFCN-Keras-p100:100:100-b128-e1, 1.334, 0.156, 0.968
ModelFCN-Keras-p100:100:100-b128-e1, 1.297, 0.147, 0.970
ModelFCN-Keras-p100:100:100-b128-e1, 1.404, 0.147, 0.970
ModelFCN-Keras-p100:100:100-b128-e1, 1.354, 0.150, 0.972
