model, timeTrain, timeTest, acc
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.076, 0.183, 0.975
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.534, 0.192, 0.977
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.543, 0.190, 0.980
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.540, 0.185, 0.980
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.481, 0.202, 0.979
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.539, 0.252, 0.980
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.596, 0.188, 0.980
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.592, 0.194, 0.980
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.858, 0.184, 0.980
ModelFCN-Keras-p100:100:100:100-b128-e10, 16.877, 0.195, 0.980
