model, timeTrain, timeTest, acc
ModelFCN-Keras-p512-b128-e1, 3.127, 0.268, 0.913
ModelFCN-Keras-p512-b128-e1, 3.154, 0.265, 0.921
ModelFCN-Keras-p512-b128-e1, 3.183, 0.275, 0.928
ModelFCN-Keras-p512-b128-e1, 3.023, 0.269, 0.935
ModelFCN-Keras-p512-b128-e1, 3.119, 0.277, 0.939
ModelFCN-Keras-p512-b128-e1, 3.053, 0.271, 0.943
ModelFCN-Keras-p512-b128-e1, 3.199, 0.275, 0.950
ModelFCN-Keras-p512-b128-e1, 2.994, 0.385, 0.951
ModelFCN-Keras-p512-b128-e1, 3.156, 0.275, 0.955
ModelFCN-Keras-p512-b128-e1, 3.223, 0.267, 0.958
