model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100-b128-e5, 6.375, 0.125, 0.935
ModelFCNN-Caffe-p100:100-b128-e5, 6.420, 0.143, 0.935
ModelFCNN-Caffe-p100:100-b128-e5, 6.471, 0.149, 0.937
ModelFCNN-Caffe-p100:100-b128-e5, 6.571, 0.142, 0.934
ModelFCNN-Caffe-p100:100-b128-e5, 6.602, 0.145, 0.936
ModelFCNN-Caffe-p100:100-b128-e5, 6.301, 0.148, 0.937
ModelFCNN-Caffe-p100:100-b128-e5, 6.460, 0.125, 0.937
ModelFCNN-Caffe-p100:100-b128-e5, 6.620, 0.146, 0.937
ModelFCNN-Caffe-p100:100-b128-e5, 6.320, 0.118, 0.936
ModelFCNN-Caffe-p100:100-b128-e5, 6.499, 0.143, 0.935
