model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.585, 0.155, 0.957
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.496, 0.150, 0.953
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.248, 0.137, 0.956
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.401, 0.229, 0.955
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.493, 0.144, 0.956
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.441, 0.152, 0.956
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.588, 0.150, 0.956
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.675, 0.156, 0.959
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.303, 0.151, 0.955
ModelFCNN-Caffe-p100:100:100-b128-e10, 15.592, 0.141, 0.958
