model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.258, 0.218, 0.954
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 17.961, 0.165, 0.956
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.463, 0.167, 0.959
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.171, 0.161, 0.959
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.449, 0.160, 0.959
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.116, 0.183, 0.957
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.233, 0.151, 0.957
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.161, 0.162, 0.956
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.214, 0.171, 0.959
ModelFCNN-Caffe-p100:100:100:100-b128-e10, 18.288, 0.172, 0.954
