model, timeTrain, timeTest, acc
ModelFCNN-Caffe-p128-b128-e5, 5.214, 0.094, 0.926
ModelFCNN-Caffe-p128-b128-e5, 5.134, 0.128, 0.923
ModelFCNN-Caffe-p128-b128-e5, 4.916, 0.110, 0.926
ModelFCNN-Caffe-p128-b128-e5, 5.256, 0.159, 0.923
ModelFCNN-Caffe-p128-b128-e5, 5.121, 0.126, 0.922
ModelFCNN-Caffe-p128-b128-e5, 5.116, 0.119, 0.924
ModelFCNN-Caffe-p128-b128-e5, 5.185, 0.136, 0.923
ModelFCNN-Caffe-p128-b128-e5, 4.988, 0.126, 0.925
ModelFCNN-Caffe-p128-b128-e5, 5.366, 0.087, 0.925
ModelFCNN-Caffe-p128-b128-e5, 5.048, 0.108, 0.922
