Model,archType,numL,numN,numP,numEpoch,timeTrainMean,timeTrainStd,timeTestMean,timTestStd,accMean,accStd
Keras,1,1,100,80284,1, 0.785,0.0598, 0.081,0.0120, 0.944,0.0148
Keras,1,2,100,90384,1, 1.058,0.0556, 0.119,0.0176, 0.955,0.0152
Keras,1,3,100,100484,1, 1.344,0.0471, 0.149,0.0031, 0.959,0.0139
Keras,1,4,100,110584,1, 1.605,0.0409, 0.192,0.0150, 0.962,0.0145
Keras,1,1,100,80284,5, 3.863,0.0591, 0.082,0.0129, 0.970,0.0089
Keras,1,2,100,90384,5, 5.308,0.0745, 0.120,0.0176, 0.975,0.0070
Keras,1,3,100,100484,5, 6.749,0.0939, 0.176,0.0387, 0.975,0.0041
Keras,1,4,100,110584,5, 8.191,0.0794, 0.205,0.0299, 0.976,0.0041
Keras,1,1,100,80284,10, 7.759,0.1033, 0.085,0.0254, 0.974,0.0054
Keras,1,2,100,90384,10, 10.739,0.1454, 0.119,0.0175, 0.976,0.0019
Keras,1,3,100,100484,10, 13.613,0.1482, 0.164,0.0356, 0.976,0.0015
Keras,1,4,100,110584,10, 16.564,0.2083, 0.196,0.0193, 0.979,0.0016
Torch,1,1,100,80284,1, 1.742,0.0360, 0.198,0.0166, 0.889,0.0023
Torch,1,2,100,90384,1, 2.083,0.0558, 0.240,0.0151, 0.850,0.0037
Torch,1,3,100,100484,1, 2.497,0.0856, 0.277,0.0124, 0.784,0.0087
Torch,1,4,100,110584,1, 2.813,0.0886, 0.301,0.0125, 0.649,0.0208
Torch,1,1,100,80284,5, 8.541,0.1144, 0.199,0.0146, 0.924,0.0020
Torch,1,2,100,90384,5, 10.184,0.1247, 0.234,0.0075, 0.886,0.0043
Torch,1,3,100,100484,5, 12.033,0.2452, 0.310,0.0439, 0.863,0.0074
Torch,1,4,100,110584,5, 13.934,0.3562, 0.328,0.0233, 0.812,0.0124
Torch,1,1,100,80284,10, 20.831,3.7372, 0.221,0.0675, 0.932,0.0018
Torch,1,2,100,90384,10, 20.489,0.2214, 0.253,0.0344, 0.893,0.0042
Torch,1,3,100,100484,10, 23.999,0.3366, 0.279,0.0358, 0.878,0.0035
Torch,1,4,100,110584,10, 27.614,0.7124, 0.323,0.0147, 0.846,0.0144
